State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Prakasam,2023-07-21,2023,07,2.2382584758,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-22,2023,07,2.9554125454,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-24,2023,07,8.5488452322,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-25,2023,07,8.9230958369,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-29,2023,07,0.0571266569,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-08-11,2023,08,5.247719065,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-08-21,2023,08,1.4080377259,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-08-29,2023,08,1.9286210724,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-08-30,2023,08,1.439219086,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-09-02,2023,09,9.7160681557,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-09-15,2023,09,0.9886956759,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-10-05,2023,10,0.5063643466,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-10-17,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-10-22,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-10-30,2023,10,0.3791176611,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-10-31,2023,10,0.0192123502,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-11-07,2023,11,4.2434806146,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-11-12,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-11-27,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-11-29,2023,11,0.3789149338,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-12-03,2023,12,1.6151405598,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-12-04,2023,12,1.8499257262,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-12-12,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-12-24,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-12-31,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-01-02,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-01-18,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-01-22,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-01-23,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-01-28,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-01-30,2023,01,0.1633870406,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-02-11,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-02-13,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-02-19,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-02-21,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-03-04,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-03-05,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-03-11,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-03-14,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-03-25,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-03-29,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-03,2023,04,0.2300501818,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-09,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-21,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-23,2023,04,0.2773285224,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-24,2023,04,20.6187004693,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-27,2023,04,0.26080824,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-28,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-04-29,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-05-01,2023,05,9.0462526471,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-05-03,2023,05,1.0349106046,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-05-05,2023,05,0.6840770782,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-05-17,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-05-18,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-05-27,2023,05,1.3023709176,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-06-03,2023,06,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-06-08,2023,06,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-06-23,2023,06,0.6114578739,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-06-24,2023,06,0.4064720844,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-12,2023,07,3.5305408154,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-19,2023,07,0.6178981171,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-22,2023,07,0.0518767817,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-27,2023,07,4.6307119785,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-30,2023,07,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-31,2023,07,0.1532089991,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-08-04,2023,08,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-08-20,2023,08,1.8903014384,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-08-28,2023,08,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-08-31,2023,08,9.3569347373,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-02,2023,09,0.2054255874,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-01,2023,09,4.3117798155,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-04,2023,09,2.4851991921,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-07,2023,09,0.5530562299,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-12,2023,09,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-13,2023,09,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-21,2023,09,0.1481289295,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-09-27,2023,09,0.8894571284,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-10-01,2023,10,1.4222266427,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-10-04,2023,10,0.4902506857,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-10-20,2023,10,0.0022734359,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-10-22,2023,10,0.0679149507,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-10-23,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-10-26,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-10-28,2023,10,0.0294013046,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-11-10,2023,11,3.9766666665,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-11-26,2023,11,0.1472506471,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-12-01,2023,12,19.5545605822,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-12-03,2023,12,25.1045920433,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-12-05,2023,12,141.0618216495,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-12-23,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-12-31,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-01-07,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-01-16,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-01-23,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-01-24,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-01-27,2023,01,0.0,IMD GRID MODEL
